id;content_object_id;tag_id
1289;272;143
1290;272;145
1291;272;147
1292;272;149
1293;272;98
1294;272;151
1295;273;141
1296;273;143
1297;273;145
1298;273;147
1299;273;149
1301;273;151
1302;274;141
1303;274;143
1304;274;145
1305;274;147
1306;274;149
1308;274;151
1309;275;141
1310;275;143
1311;275;145
1312;275;147
1313;275;149
1314;275;98
1315;275;151
1316;276;141
1317;276;143
1318;276;145
1319;276;147
1320;276;149
1321;276;98
1322;276;151
1323;277;141
1324;277;143
1325;277;145
1326;277;147
1327;277;149
1328;277;98
1329;277;151
1330;278;141
1331;278;143
1332;278;145
1333;278;147
1334;278;149
1335;278;98
1336;278;151
1337;279;141
1338;279;143
1339;279;145
1340;279;147
1341;279;149
1342;279;98
1343;279;151
1425;293;77
1426;293;158
1427;293;159
1428;293;160
1429;294;77
1430;294;158
1431;294;159
1432;294;160
1433;295;77
1434;295;158
1435;295;159
1436;295;160
1437;296;77
1438;296;158
1439;296;159
1440;296;160
1441;297;77
1442;297;158
1443;297;159
1444;297;160
1445;298;77
1446;298;158
1447;298;159
1448;298;160
1449;299;77
1450;299;158
1451;299;159
1452;299;160
1543;311;81
1544;311;162
1545;311;172
1552;312;147
1553;312;177
1554;312;98
1555;312;178
1556;312;39
1557;312;136
1558;312;94
1559;313;147
1560;313;177
1561;313;98
1562;313;178
1563;313;39
1564;313;136
1565;313;94
1566;314;147
1567;314;177
1568;314;98
1569;314;178
1570;314;39
1571;314;136
1572;314;94
1573;315;147
1574;315;177
1575;315;98
1576;315;178
1577;315;39
1578;315;136
1579;315;94
1580;316;147
1581;316;177
1582;316;98
1583;316;178
1584;316;39
1585;316;136
1586;316;94
1587;317;147
1588;317;177
1589;317;98
1590;317;178
1591;317;39
1592;317;136
1593;317;94
1594;318;147
1595;318;177
1596;318;98
1597;318;178
1598;318;39
1599;318;136
1600;318;94
1790;346;185
1791;346;186
1792;346;187
1793;346;94
1794;346;189
1795;347;185
1796;347;186
1797;347;187
1798;347;94
1799;347;189
1800;348;185
1801;348;186
1802;348;187
1803;348;94
1804;348;189
1805;349;185
1806;349;186
1807;349;187
1808;349;94
1809;349;189
1810;350;185
1811;350;186
1812;350;187
1813;350;94
1814;350;189
1828;353;200
1829;353;201
1351;281;141
1352;281;143
1353;281;145
1354;281;147
1355;281;149
1356;281;98
1357;281;151
1453;298;161
1454;298;162
1455;298;163
1601;319;147
1602;319;180
1603;319;98
1604;319;182
1605;319;184
1606;319;136
1607;319;94
1608;320;147
1609;320;180
1610;320;98
1611;320;182
1612;320;184
1613;320;136
1614;320;94
1615;321;147
1616;321;180
1617;321;98
1618;321;182
1619;321;184
1620;321;136
1621;321;94
1622;322;147
1623;322;180
1624;322;98
1625;322;182
1626;322;184
1627;322;136
1628;322;94
1629;323;147
1630;323;180
1631;323;98
1632;323;182
1633;323;184
1634;323;136
1635;323;94
1636;324;147
1637;324;180
1638;324;98
1639;324;182
1640;324;184
1641;324;136
1642;324;94
1643;325;147
1644;325;180
1645;325;98
1646;325;182
1647;325;184
1648;325;136
1649;325;94
1650;326;147
1651;326;180
1652;326;98
1653;326;182
1654;326;184
1655;326;136
1656;326;94
1815;351;190
1816;351;191
1817;351;127
1818;351;192
1819;351;193
1820;351;194
1830;353;187
1831;353;202
1832;353;203
1841;355;206
1842;355;207
1843;355;189
1844;355;208
1845;355;127
1846;355;210
1847;355;20
1848;355;211
1849;355;212
1855;357;29
1856;357;116
1857;357;71
1858;357;30
1859;357;216
1865;359;222
1866;359;223
1867;359;224
1868;360;222
1869;360;223
1870;360;224
1888;365;134
1889;365;210
1890;365;136
1891;365;94
1892;365;39
1893;365;240
1900;367;245
1901;367;246
1902;367;248
1903;367;249
1904;367;250
1905;367;55
1909;369;254
1910;369;255
1911;370;254
1912;370;255
1913;371;254
1914;371;255
1932;374;264
1933;374;265
1934;374;266
1935;374;267
1937;375;264
1938;375;265
1939;375;266
1940;375;267
1945;377;273
1946;377;274
1947;377;275
1948;377;276
1949;377;20
1950;377;277
1951;377;278
1952;378;273
1953;378;274
1954;378;275
1955;378;276
1956;378;20
1957;378;277
1958;378;278
1959;379;273
1960;379;274
1961;379;275
1962;379;276
1963;379;20
1964;379;277
1965;379;278
1966;380;273
1967;380;274
1968;380;275
1969;380;276
1970;380;20
1971;380;277
1972;380;278
1973;381;273
1974;381;274
1975;381;275
1976;381;276
1977;381;20
1978;381;277
1979;381;278
1980;382;273
1981;382;274
1982;382;275
1983;382;276
1984;382;20
1985;382;277
1986;382;278
2000;384;284
2001;384;285
2002;384;286
2003;385;279
2004;385;280
2005;385;281
2006;385;282
2007;385;283
2008;385;284
2009;385;285
1358;282;98
1359;282;141
1360;282;143
1361;282;145
1362;282;147
1363;282;149
1364;282;151
1456;300;78
1457;300;164
1458;300;80
1459;300;165
1460;300;167
1461;300;168
1462;300;169
1463;301;78
1464;301;164
1465;301;80
1466;301;165
1467;301;167
1468;301;168
1469;301;169
1470;302;78
1471;302;164
1472;302;80
1473;302;165
1474;302;167
1475;302;168
1476;302;169
1477;303;78
1478;303;164
1479;303;80
1480;303;165
1481;303;167
1482;303;168
1483;303;169
1484;304;78
1485;304;164
1486;304;80
1487;304;165
1488;304;167
1489;304;168
1490;304;169
1491;305;78
1492;305;164
1493;305;80
1494;305;165
1495;305;167
1496;305;168
1497;305;169
1498;306;78
1499;306;164
1500;306;80
1501;306;165
1502;306;167
1503;306;168
1504;306;169
1505;307;78
1506;307;164
1507;307;80
1508;307;165
1509;307;167
1510;307;168
1511;307;169
1512;308;78
1513;308;164
1514;308;80
1515;308;165
1516;308;167
1517;308;168
1518;308;169
1519;309;78
1520;309;164
1521;309;80
1522;309;165
1523;309;167
1524;309;168
1525;309;169
1526;310;78
1527;310;164
1528;310;80
1529;310;165
1530;310;167
1531;310;168
1533;311;78
1534;311;164
1535;311;80
1536;311;165
1537;311;167
1538;311;168
